Name,Slot,Weight,Special,DLC,Physical,Strike,Slash,Pierce,Magic,Fire,Lightning,Holy,Immunity,Robustness,Focus,Vitality,Poise,Power
Dane's Hat,Helm,2.2,,1.0,8.82,11.39,7.11,7.11,32.47,21.21,30.2,34.48,15.69,11.11,30.84,28.7,3.0,1529.52
Gaius's Helm,Helm,8.6,,1.0,29.9,27.72,36.55,35.53,32.47,24.75,32.89,33.79,28.43,35.35,21.5,21.3,12.0,2852.62
Oathseeker Knight Helm,Helm,4.4,,1.0,21.57,18.81,21.32,20.3,23.38,17.17,15.44,23.45,11.76,21.21,9.35,8.33,7.0,1850.01
Verdigris Helm,Helm,11.1,,1.0,36.76,31.68,36.55,34.52,31.17,23.74,34.9,32.41,38.24,46.46,14.02,20.37,15.0,3119.55
Pelt of Ralva,Helm,3.6,"Enhances incantations of ""Bear Communion"" by 15%.",1.0,15.2,16.83,15.74,15.74,27.27,20.2,30.2,27.59,26.47,23.23,20.56,20.37,5.0,1844.49
Fang Helm,Helm,2.7,,1.0,11.27,12.38,11.68,11.68,23.38,17.17,26.85,23.45,22.55,18.18,14.95,14.81,4.0,1477.65
Thiollier's Mask,Helm,3.8,Increases Arcane +3,1.0,21.57,16.83,20.3,19.29,14.94,15.66,15.44,21.38,14.71,16.16,10.28,0.0,6.0,1676.11
High Priest Hat,Helm,1.7,Increases Intelligence +1 and Arcane +1,1.0,8.82,10.4,7.11,4.57,29.87,22.73,29.53,31.03,17.65,10.1,25.23,30.56,3.0,1459.05
Caterpillar Mask,Helm,1.4,,1.0,8.82,6.93,7.11,4.57,29.22,19.19,28.19,31.72,15.69,9.09,42.06,23.15,2.0,1385.0
Dancer's Hood,Helm,1.0,Enhances the power of dancing attacks by 2.5%.,1.0,4.41,0.99,9.14,1.02,28.57,22.22,26.85,28.97,14.71,10.1,22.43,24.07,1.0,1190.89
Helm of Night,Helm,3.0,,1.0,12.25,12.38,14.21,14.21,28.57,17.17,22.82,31.03,22.55,14.14,18.69,18.52,4.0,1609.1
Igon's Helm,Helm,3.3,,1.0,15.2,16.83,15.74,15.74,23.38,19.19,26.85,24.83,25.49,16.16,20.56,20.37,5.0,1714.06
Igon's Helm (Altered),Helm,3.0,,1.0,13.73,15.35,14.21,14.21,22.08,18.18,25.5,23.45,23.53,15.15,18.69,18.52,5.0,1585.88
Wise Man's Mask,Helm,4.0,Enhances Blood Oath and dynastic skills by 5%.,1.0,20.59,17.82,22.34,20.3,20.13,20.2,15.44,21.38,10.78,24.24,8.41,9.26,7.0,1822.29
Freyja's Helm,Helm,5.8,,1.0,26.96,20.79,24.37,24.37,25.97,21.21,25.5,28.97,12.75,28.28,8.41,11.11,8.0,2262.37
Helm of Solitude,Helm,10.3,,1.0,33.33,31.68,34.01,31.98,30.52,26.26,32.21,33.79,25.49,27.27,39.25,20.37,14.0,2879.02
Messmer Soldier Helm,Helm,4.0,,1.0,21.57,17.82,22.34,21.32,20.13,18.18,16.78,21.38,11.76,22.22,8.41,8.33,7.0,1832.32
Black Knight Helm,Helm,5.9,,1.0,25.49,21.78,26.4,29.44,28.57,23.23,25.5,27.59,15.69,26.26,9.35,8.33,9.0,2318.24
Rakshasa Helm,Helm,5.5,Boosts All Damage by 2%,1.0,13.24,11.39,15.74,14.72,13.64,12.63,12.75,14.48,14.71,26.26,11.21,11.11,9.0,1315.12
Fire Knight Helm,Helm,4.0,"Slightly increases maximum HP by 2%, Stamina by 5%, and Equip Load by 4%.",1.0,22.55,17.82,21.32,19.29,22.08,21.21,16.78,21.38,11.76,20.2,8.41,9.26,6.0,1873.03
Death Mask Helm,Helm,3.4,Reduces FP to summon spirits by 12%,1.0,21.08,16.34,19.8,17.77,19.48,19.7,14.77,18.62,9.8,16.16,6.54,8.33,6.0,1696.78
